0;3053.51588817
100;3144.54509335
200;3187.55401031
300;3213.5411625
400;3250.54831001
500;3275.5481123
600;3291.55887034
700;3298.5633345
800;3311.55932494
900;3316.56395706
1000;3318.56570889
1100;3318.56579091
1200;3318.56579091
1300;3318.56613022
1400;3318.56644768
1500;3318.56658607
1600;3318.56658607
1700;3318.56658607
1800;3318.56658607
1900;3318.56658607
2000;3318.56658607
2100;3318.56658607
2200;3318.56658607
2300;3318.56658607
2400;3318.56658607
2500;3318.56658607
2600;3318.56658607
2700;3318.56658607
2800;3318.56658607
2900;3318.56658607
3000;3318.56658607
3100;3318.56658607
3200;3318.56658607
3300;3318.56658607
3400;3318.56658607
3500;3318.5665998
3600;3318.5665998
3700;3318.5665998
3800;3318.5665998
3900;3318.5665998
4000;3318.5665998
4100;3318.5665998
4200;3318.5665998
4300;3318.5665998
4400;3318.5665998
4500;3318.5665998
4600;3318.5665998
4700;3318.5665998
4800;3318.5665998
4900;3318.5665998
5000;3318.5665998
5100;3318.5665998
5200;3318.5665998
5300;3318.56660991
5400;3319.56651505
5500;3319.56651505
5600;3319.56664962
5700;3319.56664962
5800;3319.56667318
5900;3319.56671502
6000;3319.56671502
6100;3319.56671502
6200;3319.56671502
6300;3319.56671502
6400;3319.56671502
6500;3323.5584492
6600;3327.56557985
6700;3327.56751853
6800;3327.56751853
6900;3327.56751853
7000;3327.56751853
7100;3327.56763226
7200;3327.56764847
7300;3327.56764847
7400;3327.56764847
7500;3327.56764847
7600;3327.56764847
7700;3327.56764847
7800;3327.56764847
7900;3327.56764847
