0;3033.50915308
100;3071.51610148
200;3045.51473985
300;3078.52075422
400;3051.51678801
500;3044.51043438
600;3052.51052092
700;3081.51736922
800;3049.51925848
900;3054.51969862
1000;3109.52122783
1100;3066.52098498
1200;3090.51124331
1300;3044.51267214
1400;3060.51305103
1500;3061.50347345
1600;3066.50570907
1700;3068.52094101
1800;3053.50559233
1900;3071.50554844
2000;3090.52179035
2100;3049.50412755
2200;3065.52389367
2300;3074.52414823
2400;3059.50354514
2500;3104.5211622
2600;3064.51691383
2700;3039.50339431
2800;3058.52065198
2900;3049.51664928
3000;3046.50789095
3100;3077.512991
3200;3049.52183224
3300;3053.51672103
3400;3030.50266869
3500;3083.51890283
3600;3073.51191036
3700;3065.51561568
3800;3024.51454563
3900;3038.50842028
4000;3061.5176891
4100;3073.52166421
4200;3049.51518148
4300;3071.51117906
4400;3045.50939767
4500;3063.5079597
4600;3041.51047803
4700;3051.51100007
4800;3072.52307293
4900;3061.51397355
